Địa phương,Năm,Tỷ lệ dân số từ 15 tuổi trở lên biết chữ (%),Tỷ lệ lao động từ 15 tuổi trở lên đang làm việc trong nền kinh tế đã qua đào tạo (%),Tỷ lệ lao động từ 15 tuổi trở lên đang làm việc so với tổng dân số (%),Lực lượng lao động từ 15 tuổi trở lên (Nghìn người),"Bình quân Thu nhập từ tiền lương, tiền công","Bình quân Thu nhập từ nông, lâm nghiệp, thuỷ sản","Bình quân Thu nhập phi nông, lâm nghiệp, thuỷ sản",Bình quân Các khoản thu nhập khác,Bình quân thu nhập Nhóm 1,Bình quân thu nhập Nhóm 2,Bình quân thu nhập ,Bình quân thu nhập Nhóm 4,Bình quân thu nhập Nhóm 5,Tuổi kết hôn trung bình lần đầu,Nam,Nông thôn,Nữ,Thành thị,Tỷ lệ tăng tự nhiên (‰),Tỷ suất chết thô (‰),Tỷ suất sinh thô (‰),Trung bình số con/phụ nữ,Chỉ số giá sinh hoạt theo không gian theo địa phương (Hà Nội = 100%) (%),Số vụ ly hôn,Số nam/100 nữ,Tỷ suất di cư thuần (‰),Số lượng Kết hôn lần đầu,Số lượng Kết hôn lần thứ 2 trở lên,Thu nhập bình quân đầu người một tháng - Nhóm thu nhập thấp nhất,Thu nhập bình quân đầu người một tháng - Nhóm thu nhập cao nhất,Nhóm thu nhập cao nhất so với nhóm thu nhập thấp nhất (Lần),Diện tích(Km2),Dân số trung bình (Nghìn người),Mật độ dân số (Người/km2),Vùng,Bình quân dân số (Nghìn người),Tỷ lệ dân số Nông thôn,Tỷ lệ dân số Thành thị,Phân bố dân số
An Giang,2007,,,54.7,1221.3,,,,,,,,,,,1049.2,1560.8,1085.1,573.5,11.8,5.1,16.9,1.86,,,96.7,-2.8,,,,,,,,,Đồng bằng sông Cửu Long,2134.3,0.731293633,0.268706367,Hơn 2/3 dân số sống tại Nông thôn
An Giang,2008,,8.1,56,1244.9,,,,,,,,,,,1059.6,1550.9,1083,591.7,11.9,5,16.9,1.86,,,97.8,-2.9,,,,,,,,,Đồng bằng sông Cửu Long,2142.6,0.723840194,0.276159806,Hơn 2/3 dân số sống tại Nông thôn
An Giang,2009,88.5,7.2,55.5,1227.3,,,,,,,,,,,1066.9,1537.9,1080.7,609.7,9.7,8,17.6,1.97,,,98.7,-9.2,,,,,,,,,Đồng bằng sông Cửu Long,2147.6,0.716101695,0.283898305,Hơn 2/3 dân số sống tại Nông thôn
An Giang,2010,88.4,7,56.2,1240,406300,377900,417000,117900,425000,713000,991000,1413000,3051000,24,1054.36,1513.28,1068.08,609.16,9.3,7.9,17.3,1.97,90.74,,98.71,-8.3,,,425000,3051000,7.2,,,,Đồng bằng sông Cửu Long,2122.44,0.712990709,0.287009291,Hơn 2/3 dân số sống tại Nông thôn
An Giang,2011,88.5,7.8,59.2,1271.1,,,,,,,,,,,1041.93,1488.9,1055.61,608.65,9,7.3,16.4,1.92,,,98.7,-12.2,,,,,,3536.7,2149,607.63,Đồng bằng sông Cửu Long,2097.55,0.709828133,0.290171867,Hơn 2/3 dân số sống tại Nông thôn
An Giang,2012,89.1,8.7,59.4,1258.6,546000,498000,548000,279000,615000,985000,1322000,1845000,4578000,,1032.14,1468.34,1045.8,609.6,9.6,7.8,17.5,2.17,90.46,,98.69,-9,,,615000,4578000,7.4,3536.7,2151.2,608.25,Đồng bằng sông Cửu Long,2077.94,0.70663253,0.29336747,Hơn 2/3 dân số sống tại Nông thôn
An Giang,2013,91,10.6,57.8,1213.7,,,,,,,,,,23.9,1019.02,1443.11,1032.6,608.51,8.5,7.8,16.3,2.07,90.27,435,98.68,-8.2,,,,,,3536.7,2153.3,608.84,Đồng bằng sông Cửu Long,2051.62,0.70340024,0.29659976,Hơn 2/3 dân số sống tại Nông thôn
An Giang,2014,89.5,9.83,55.3,1144.53,738000,572000,771000,391000,826000,1254000,1720000,2409000,6125000,24.3,1005.54,1417.48,1019.05,607.11,7.9,8.8,16.7,2.1,89.67,468,98.67,-8.4,,,826000,6125000,7.4,3536.7,2155.8,610,Đồng bằng sông Cửu Long,2024.59,0.700131879,0.299868121,Hơn 2/3 dân số sống tại Nông thôn
An Giang,2015,90.5,9,55.5,1132.1,,,,,,,,,,24.6,993.7,1394.2,1007.1,606.6,4.9,7.5,12.5,1.73,91.82,753,98.7,-9.6,,,,,,3536.7,2158.3,610,Đồng bằng sông Cửu Long,2000.8,0.696821271,0.303178729,Hơn 2/3 dân số sống tại Nông thôn
An Giang,2016,91,10.4,56.2,1127.9,980000,699000,876000,337000,936000,1514000,2078000,2862000,7083000,24.7,981.5,1370.6,994.9,605.8,3.7,8.8,12.5,1.84,95.33,570,98.7,-9.1,,,936000,7083000,7.6,3536.7,2159.9,611,Đồng bằng sông Cửu Long,1976.4,0.693483101,0.306516899,Hơn 2/3 dân số sống tại Nông thôn
